x,y,z,phi,alpha,beta,phi_dot,phi_dot_dot,alpha_dot,alpha_dot_dot,beta_dot,beta_dot_dot
0.5,0.5,0.0,-0.9667728907320898,0.7510203116211884,-0.32404320032186945,9.130150112797406,38.166663908893256,2.854974214540879,-26.96221976930417,-1.3545941486013107,12.792712784159212
0.5,0.5,0.0,-0.8726646259971641,0.7507162553488749,-0.33706438185352555,9.497031262940094,34.451418533666434,2.5770633713955524,-28.045655427771283,-1.2227343230238472,13.306768426368077
0.5,0.5,0.0,-0.7750424488148911,0.7505439200623298,-0.3487283240842306,9.825671220104926,30.597449455418094,2.288775603612079,-29.01616113037008,-1.0859509778840288,13.767242408664952
0.5,0.5,0.0,-0.6742994492376421,0.7504917384994418,-0.35898806043533754,10.11474666717583,26.62027524739185,1.9912717442819428,-29.869828993170145,-0.9447948914359003,14.17228056484456
0.5,0.5,0.0,-0.5708412837681047,0.7505562472960066,-0.3678022785696701,10.36309359935482,22.535910586404743,1.6857497364445457,-30.603221596984714,-0.7998344494194333,14.52025194920764
0.5,0.5,0.0,-0.4650845419237045,0.7507417306822378,-0.3751354867417253,10.569712011198524,18.360801767395287,1.373439809393343,-31.213385828644615,-0.651653356371735,14.809755403803722
0.5,0.5,0.0,-0.35745506877766997,0.7510606614415856,-0.3809581567104039,10.733769923287122,14.11176047999916,1.0555995249767405,-31.697864772142584,-0.5008482852549214,15.039625200399566
0.5,0.5,0.0,-0.2483862502312069,0.7515349965204254,-0.3852468426388173,10.854606732311852,9.805896113808007,0.7335087138403311,-32.05470760176699,-0.3480264748646677,15.208935734455402
0.5,0.5,0.0,-0.1383172679214405,0.7521984965314186,-0.3879842755023968,10.931735871091373,5.46054686489642,0.40846432200061217,-32.282477437388394,-0.19380328469390745,15.317005252207686
0.5,0.5,0.0,-0.027691330791973848,0.7531003739208442,-0.38915943262516056,10.964846767806065,1.0932099210259454,0.08177518850113848,-32.38025713026869,-0.038799717097348675,15.363398595850887
0.5,0.5,0.0,0.08304610955310944,0.7543107518226961,-0.3887675820641395,10.953806096561147,-3.278528993354872,-0.24524322482038607,-32.34765295609537,0.11636008326584274,15.347928955764399
0.5,0.5,0.0,0.19344915252562925,0.7559286562830481,-0.3868103016632419,10.898658314242981,-7.637066428615828,-0.571274130232627,-32.18479620037041,0.2710513426422889,15.270658622728936
0.5,0.5,0.0,0.30307324403760133,0.7580935937940156,-0.38329547269983205,10.7996254815069,-11.964852092823756,-0.8950047163500656,-31.892342629769818,0.42465117392779705,15.131898737103551
0.5,0.5,0.0,0.4114769665636484,0.7610022091117918,-0.3782372481496086,10.657106368617308,-16.244459520573933,-1.2151314343611046,-31.471469851602745,0.5765410848138858,14.932208035973217
0.5,0.5,0.0,0.5182238165735736,0.7649320887306041,-0.3716559956975666,10.471674849740582,-20.458656243215465,-1.5303652469590352,-30.923872572002452,0.7261094682380103,14.672390603311802
0.5,0.5,0.0,0.6228839621780253,0.7702754455385337,-0.36357821572451815,10.244077592156334,-24.590473177920863,-1.8394368188403438,-30.251755771942825,0.8727540651093545,14.353492632219682
0.5,0.5,0.0,0.7250359739097978,0.7775860543287514,-0.354036434599413,9.97523104969183,-28.623272956192995,-2.1411016278699413,-29.457825828558295,1.0158843893936103,13.976798212273403
0.5,0.5,0.0,0.8242685216715647,0.7876430231781885,-0.34306907370712947,9.666217772485858,-32.54081691667637,-2.4341449763325844,-28.545279617518226,1.1549241057918431,13.543824158950136
0.5,0.5,0.0,0.9201820310169987,0.8015338901413717,-0.3307202947391191,9.318282047941416,-36.32733049251486,-2.717386882091838,-27.517791640336977,1.2893133504393188,13.05631390594712
0.5,0.5,0.0,1.0123902920960413,0.8207552959482396,-0.3170398218698617,8.932824890419498,-39.96756672996492,-2.9896868299616752,-26.379499228453188,1.4185109852796884,12.51623048498949
0.5,0.5,0.0,1.1005220147856598,0.8473188009210568,-0.3020827415351636,8.511398399848739,-43.4468676824971,-3.2499483641585982,-25.134985883656274,1.5419967770369518,11.92574862139436
0.5,0.5,0.0,1.1842223237441223,0.883827420899757,-0.285909280618525,8.055699511966823,-46.751223433173024,-3.4971235033420744,-23.789262821942543,1.6592734920112393,11.287245977219547
0.5,0.5,0.0,1.2631541873687586,0.9334507685317947,-0.2685845639387343,7.5675631653591555,-49.86732850763661,-3.730216960465545,-22.3477487951169,1.7698688982634392,10.603293577257594
0.5,0.5,0.0,1.3369997749032594,0.999677321665661,-0.2501783520152109,7.048954912808859,-52.78263545056276,-3.9482901504460495,-20.81624827139203,1.8733376671265296,9.87664545642643
0.5,0.5,0.0,1.405461736229964,1.0856914494421788,-0.23076476016701258,6.501963006709393,-55.485405349831765,-4.150464969515114,-19.20092806284338,1.9692631663869578,9.11022757024271
0.5,0.5,0.0,1.4682643991938327,1.1932866041524381,-0.2104219600766059,5.9287899904092365,-57.96475510498509,-4.335927331032689,-17.508292493833576,2.05725913791551,8.307126013031676
0.5,0.5,0.0,1.5251548796369185,1.3214844142723539,-0.1892318650200904,5.331743829347187,-60.210701249629764,-4.50393044352673,-15.745157210393844,2.1369712529924696,7.470574591314525
0.5,0.5,0.0,1.5759040996736182,1.46546614670813,-0.16727980003134627,4.713228617690108,-62.21420015133402,-4.653797817758876,-13.918621736022953,2.208078539064317,6.6039418024108905
0.5,0.5,0.0,1.620307710106464,1.6167001803608847,-0.14465415832823925,4.075734897894271,-63.9671844271431,-4.784925990707845,-12.036040884411936,2.2702946721869135,5.710717270689067
0.5,0.5,0.0,1.6581869132682212,1.7647288508840488,-0.12144604538432795,3.4218296321698407,-65.46259542808325,-4.896786955502049,-10.104995144204999,2.323369129950972,4.794497696080244
0.5,0.5,0.0,1.6893891829769851,1.899962704852885,-0.09774891207927955,2.7541458662301275,-66.69441166184963,-4.988930287516886,-8.13326015504747,2.367088200247373,3.8589723714374164
0.5,0.5,0.0,1.7137888787052862,2.0160095431201093,-0.073658178405157,2.075372126945718,-67.65767303923074,-5.0609849580757515,-6.128775397829029,2.4012758418104094,2.90790832705505
0.5,0.5,0.0,1.7312877514901472,2.110455022459271,-0.04927084924379162,1.3882415965957486,-68.34850084663702,-5.112660828451552,-4.099612225196591,2.425794393073821,1.945135162167744
0.5,0.5,0.0,1.741815339546981,2.184164026057389,-0.024685123762361066,0.6955211073075189,-68.76411336431136,-5.143749818152958,-2.053941361065903,2.4405451264853393,0.974529624505737
0.5,0.5,0.0,1.7453292519943295,2.23992577422551,-9.532856993332426e-17,2.6859509863654914e-15,-68.90283706733292,-5.154126742791109,-7.931874053468e-15,2.445468646047696,3.7634210934539665e-15
